"","CONTROL","AGE1","METRO3","REGION","LMED","FMR","L30","L50","L80","IPOV","BEDRMS","BUILT","STATUS","TYPE","VALUE","VACANCY","TENURE","NUNITS","ROOMS","WEIGHT","PER","ZINC2","ZADEQ","ZSMHC","STRUCTURETYPE","OWNRENT","UTILITY","OTHERCOST","COST06","COST12","COST08","COSTMED","TOTSAL","ASSISTED","GLMED","GL30","GL50","GL80","APLMED","ABL30","ABL50","ABL80","ABLMED","BURDEN","INCRELAMIPCT","INCRELAMICAT","INCRELPOVPCT","INCRELPOVCAT","INCRELFMRPCT","INCRELFMRCAT","COST06RELAMIPCT","COST06RELAMICAT","COST06RELPOVPCT","COST06RELPOVCAT","COST06RELFMRPCT","COST06RELFMRCAT","COST08RELAMIPCT","COST08RELAMICAT","COST08RELPOVPCT","COST08RELPOVCAT","COST08RELFMRPCT","COST08RELFMRCAT","COST12RELAMIPCT","COST12RELAMICAT","COST12RELPOVPCT","COST12RELPOVCAT","COST12RELFMRPCT","COST12RELFMRCAT","COSTMedRELAMIPCT","COSTMedRELAMICAT","COSTMedRELPOVPCT","COSTMedRELPOVCAT","COSTMedRELFMRPCT","COSTMedRELFMRCAT","FMTZADEQ","FMTMETRO3","FMTBUILT","FMTSTRUCTURETYPE","FMTBEDRMS","FMTOWNRENT","FMTCOST06RELPOVCAT","FMTCOST08RELPOVCAT","FMTCOST12RELPOVCAT","FMTCOSTMEDRELPOVCAT","FMTINCRELPOVCAT","FMTCOST06RELFMRCAT","FMTCOST08RELFMRCAT","FMTCOST12RELFMRCAT","FMTCOSTMEDRELFMRCAT","FMTINCRELFMRCAT","FMTCOST06RELAMICAT","FMTCOST08RELAMICAT","FMTCOST12RELAMICAT","FMTCOSTMEDRELAMICAT","FMTINCRELAMICAT","FMTASSISTED","FMTBURDEN","FMTREGION","FMTSTATUS"
"21224","'386452330149'",47,"'1'","'1'",63000,2124,25750,42950,68700,23828,4,1950,"'1'",1,250000,-6,"'1'",1,7,1483.9440079,4,179961,"'1'",1161,1,"'1'",332,141.66666667,2135.1553483,3100.5450097,2437.1369579,1926.2086138,135000,-9,63000,25750,42950,68700,63000,29870,49822,79692,73080,0.0774167736,285.65238095,7,755.2501259,4,211.81850282,3,116.86674046,6,358.42795841,4,100.52520472,3,133.3955642,7,409.12153062,4,114.74279463,3,169.70689709,7,520.48766321,4,145.97669537,3,105.43013759,4,323.35212586,4,90.687787843,2,"'1 Adequate'","'Central City'","'1940-1959'","'1 Single Family'","'4 4BR+'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'6 100 - 120% AMI'","'7 120% AMI +'","'7 120% AMI +'","'4 60 - 80% AMI'","'7 120% AMI +'","'.'","'1 Less than 30%'","'-5'","'-5'"
"46869","'686408640140'",35,"'1'","'1'",64630,1474,25968,43312,68753,23500,2,1970,"'1'",1,-6,-6,"'2'",384,4,2554.3429968,4,99987,"'1'",943,5,"'2'",0,12.5,943,943,943,943,4000,0,64630,25968,43312,68753,64630,23371.2,38980.8,61877.7,58167,0.1131747127,154.70679251,7,425.47659574,4,169.58446404,3,64.847765915,2,160.5106383,3,63.975576662,2,64.847765915,2,160.5106383,3,63.975576662,2,64.847765915,2,160.5106383,3,63.975576662,2,64.847765915,2,160.5106383,3,63.975576662,2,"'1 Adequate'","'Central City'","'1960-1979'","'5 50+ units'","'2 2BR'","'2 Renter'","'3 150-200% Poverty'","'3 150-200% Poverty'","'3 150-200% Poverty'","'3 150-200% Poverty'","'4 200%+ Poverty'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'2 30 - 50% AMI'","'2 30 - 50% AMI'","'2 30 - 50% AMI'","'2 30 - 50% AMI'","'7 120% AMI +'","'0 Not Assisted'","'1 Less than 30%'","'-5'","'-5'"
"7709","'199467900247'",54,"'5'","'2'",57596,664,12648,21054,33671,12005,2,1970,"'1'",1,-6,-6,"'2'",8,4,2383.3463864,1,11876,"'1'",297,3,"'2'",59,10.75,297,297,297,297,0,1,57596,12648,21054,33671,40317.2,16261.714286,27069.428571,43291.285714,51836.4,0.3001010441,29.456410663,1,98.92544773,1,44.713855422,1,22.918258212,1,98.95876718,1,44.728915663,1,22.918258212,1,98.95876718,1,44.728915663,1,22.918258212,1,98.95876718,1,44.728915663,1,22.918258212,1,98.95876718,1,44.728915663,1,"'1 Adequate'","'-5'","'1960-1979'","'3 5-19 units'","'2 2BR'","'2 Renter'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 Assisted'","'2 30% to 50%'","'-5'","'-5'"
"13732","'289114980147'",70,"'4'","'4'",56545,1245,12479,20793,33210,11114,4,1975,"'1'",1,100000,-6,"'1'",1,6,2847.6007095,1,6000,"'1'",485,1,"'1'",228.5,100,993.09547264,1379.2513372,1113.8881165,909.51677884,0,-9,56545,12479,20793,33210,39581.5,20679.485714,34456.971429,55033.714286,65592.2,0.97,15.158596819,1,53.985963649,1,12.048192771,1,60.561802936,3,357.42144057,4,79.76670463,2,67.928083918,4,400.89548911,4,89.468925019,2,84.110692261,5,496.40141704,4,110.78323994,3,55.464935089,3,327.34093174,4,73.053556534,2,"'1 Adequate'","'-5'","'1960-1979'","'1 Single Family'","'4 4BR+'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'1 LTE Poverty'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'1 LTE 50% FMR'","'3 50 - 60% AMI'","'4 60 - 80% AMI'","'5 80 - 100% AMI'","'3 50 - 60% AMI'","'1 LTE 30% AMI'","'.'","'3 50% or More'","'West'","'-5'"
"15313","'297796130133'",-9,"'2'","'1'",86324,1118,18755,31228,45578,-6,1,1970,"'3'",1,-6,1,"'-6'",425,3,583.04117054,-6,-6,"'-6'",-6,5,"'2'",153,0,1903,1903,1903,1903,-9,-9,86324,18755,31228,45578,-9,20094.642857,33458.571429,48833.571429,64743,-9,-9,-9,-9,-9,-9,-9,117.57255611,6,-9,-9,170.21466905,3,117.57255611,6,-9,-9,170.21466905,3,117.57255611,6,-9,-9,170.21466905,3,117.57255611,6,-9,-9,170.21466905,3,"'-5'","'-5'","'1960-1979'","'5 50+ units'","'1 1BR'","'2 Renter'","'.'","'.'","'.'","'.'","'.'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'.'","'6 100 - 120% AMI'","'6 100 - 120% AMI'","'6 100 - 120% AMI'","'6 100 - 120% AMI'","'.'","'.'","'.'","'-5'","'-5'"
"46145","'682250770147'",57,"'2'","'3'",77954,1343,21123,35199,51909,18574,3,1970,"'1'",1,-6,-6,"'2'",1,8,3366.671783,3,96484,"'1'",1864,1,"'2'",259,0,1864,1864,1864,1864,90000,0,77954,21123,35199,51909,70158.6,24408.8,40674.4,59983.733333,81072.16,0.2318311844,137.52269857,7,519.45730591,4,179.60536113,3,91.967452206,5,401.42134166,4,138.79374535,3,91.967452206,5,401.42134166,4,138.79374535,3,91.967452206,5,401.42134166,4,138.79374535,3,91.967452206,5,401.42134166,4,138.79374535,3,"'1 Adequate'","'-5'","'1960-1979'","'1 Single Family'","'3 3BR'","'2 Renter'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'5 80 - 100% AMI'","'5 80 - 100% AMI'","'5 80 - 100% AMI'","'5 80 - 100% AMI'","'7 120% AMI +'","'0 Not Assisted'","'1 Less than 30%'","'-5'","'-5'"
"25359","'399622730113'",51,"'3'","'2'",64182,732,20671,34420,55050,28229,2,1990,"'1'",2,10000,-6,"'1'",1,4,3382.4283192,5,100461,"'1'",223,6,"'1'",193.33333333,0,259.7928806,298.40846706,271.87214498,251.43501122,100500,-9,64182,20671,34420,55050,69316.56,17225.833333,28683.333333,45875,57763.8,0.0266372025,144.93073517,7,355.87870629,4,343.1045082,3,17.990013164,1,36.81219747,1,35.490830683,1,18.826472288,1,38.523808138,1,37.141003413,1,20.664046829,1,42.283958632,1,40.766184024,1,17.411251422,1,35.627901976,1,34.349045248,1,"'1 Adequate'","'-5'","'1990-1999'","'6 Mobile Home'","'2 2BR'","'1 Owner'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'4 200%+ Poverty'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'3 GT FMR'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'7 120% AMI +'","'.'","'1 Less than 30%'","'-5'","'-5'"
"48892","'689918900146'",82,"'5'","'3'",55846,1100,12032,20046,32045,11067,4,1930,"'1'",1,90000,-6,"'1'",1,9,2282.5942808,1,65000,"'1'",549,1,"'1'",417.66666667,22.5,1038.302592,1385.8428702,1147.0159715,963.08176763,0,-9,55846,12032,20046,32045,39092.2,19938.742857,33219.085714,53103.142857,64781.36,0.1013538462,166.27357887,7,587.33170688,4,147.72727273,3,64.111194457,4,375.27878993,4,94.391144731,2,70.823827812,4,414.57159899,4,104.27417923,3,85.570470899,5,500.8919744,4,125.98571547,3,59.466597653,3,348.09135904,4,87.552887966,2,"'1 Adequate'","'-5'","'-5'","'1 Single Family'","'4 4BR+'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'2 50.1 - 100% FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'4 60 - 80% AMI'","'4 60 - 80% AMI'","'5 80 - 100% AMI'","'3 50 - 60% AMI'","'7 120% AMI +'","'.'","'1 Less than 30%'","'-5'","'-5'"
"51810","'730242190145'",56,"'2'","'1'",86324,1721,24095,40143,58591,18675,3,1995,"'1'",1,310000,-6,"'1'",1,6,170.04049074,3,149961,"'1'",1949,1,"'1'",270.33333333,78,2408.5792985,3605.6624788,2783.0364945,2149.4853477,150000,-9,86324,24095,40143,58591,77691.6,27843.111111,46387.466667,67705.155556,89776.96,0.1559605497,193.02086712,7,803.00401606,4,217.83991865,3,107.31391656,6,515.89382565,4,139.95231252,3,123.99780498,7,596.09884754,4,161.71042966,3,160.64979161,7,772.2971842,4,209.50973148,3,95.770021518,5,460.39846806,4,124.89746355,3,"'1 Adequate'","'-5'","'1990-1999'","'1 Single Family'","'3 3BR'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'6 100 - 120% AMI'","'7 120% AMI +'","'7 120% AMI +'","'5 80 - 100% AMI'","'7 120% AMI +'","'.'","'1 Less than 30%'","'-5'","'-5'"
"38982","'588218800344'",39,"'3'","'1'",73738,767,15738,26213,40322,12005,1,1919,"'1'",1,-6,-6,"'3'",1,3,1910.2240914,1,74001,"'1'",0,1,"'2'",0,0,0,0,0,0,74000,0,73738,15738,26213,40322,51616.6,16862.142857,28085.357143,43202.142857,55303.5,0,143.36666886,7,616.4181591,4,241.20273794,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,"'1 Adequate'","'-5'","'-5'","'1 Single Family'","'1 1BR'","'2 Renter'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'4 200%+ Poverty'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'3 GT FMR'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'7 120% AMI +'","'0 Not Assisted'","'1 Less than 30%'","'-5'","'-5'"
"26940","'400849130103'",47,"'2'","'3'",60060,1282,21574,35933,57497,31941,3,2003,"'1'",1,-6,-6,"'2'",1,5,2097.2391127,6,42948,"'1'",986,1,"'2'",201.33333333,0,986,986,986,986,43000,0,60060,21574,35933,57497,69669.6,19342.206897,32215.793103,51549.034483,62462.4,0.2754959486,61.6452513,3,134.46041138,2,83.751950078,2,63.141986219,4,123.47766194,2,76.911076443,2,63.141986219,4,123.47766194,2,76.911076443,2,63.141986219,4,123.47766194,2,76.911076443,2,63.141986219,4,123.47766194,2,76.911076443,2,"'1 Adequate'","'-5'","'2000-2009'","'1 Single Family'","'3 3BR'","'2 Renter'","'2 100-150% Poverty'","'2 100-150% Poverty'","'2 100-150% Poverty'","'2 100-150% Poverty'","'2 100-150% Poverty'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'4 60 - 80% AMI'","'4 60 - 80% AMI'","'4 60 - 80% AMI'","'4 60 - 80% AMI'","'3 50 - 60% AMI'","'0 Not Assisted'","'1 Less than 30%'","'-5'","'-5'"
"58196","'999900012149'",86,"'1'","'3'",60991,988,14801,24628,39421,13936,3,2006,"'1'",1,220000,-6,"'1'",4,7,2378.4680632,2,54000,"'1'",664,2,"'1'",196,259.75,1917.8600398,2767.4029419,2183.6038563,1733.9869135,0,-9,60991,14801,24628,39421,48792.8,19241.3,32016.4,51247.3,63430.64,0.1475555556,110.67206637,6,387.48564868,4,136.63967611,3,120.9421844,7,550.47647526,4,194.11538864,3,137.70025693,7,626.75196793,4,221.01253606,3,174.51521485,7,794.31772156,4,280.10151234,3,109.34695998,6,497.70003256,4,175.50474833,3,"'1 Adequate'","'Central City'","'2000-2009'","'2 2-4 units'","'3 3BR'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'6 100 - 120% AMI'","'6 100 - 120% AMI'","'.'","'1 Less than 30%'","'-5'","'-5'"
"24814","'399346738588'",63,"'5'","'2'",51444,631,11365,18923,30277,12005,2,1985,"'1'",2,20000,-6,"'1'",1,5,2438.672766,1,40700,"'1'",152,6,"'1'",97,50,279.91909453,357.15026745,304.0776233,263.20335577,0,-9,51444,11365,18923,30277,36010.8,14612.142857,24329.571429,38927.571429,46299.6,0.0448157248,113.02164906,6,339.02540608,4,161.25198098,3,24.183284048,1,93.267503383,1,44.361187722,1,26.270431995,1,101.31699235,2,48.18979767,1,30.855581253,1,119.0005056,2,56.600676299,2,22.739147273,1,87.697911127,1,41.712100756,1,"'1 Adequate'","'-5'","'1980-1989'","'6 Mobile Home'","'2 2BR'","'1 Owner'","'1 LTE Poverty'","'2 100-150% Poverty'","'2 100-150% Poverty'","'1 LTE Poverty'","'4 200%+ Poverty'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'2 50.1 - 100% FMR'","'1 LTE 50% FMR'","'3 GT FMR'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'6 100 - 120% AMI'","'.'","'1 Less than 30%'","'-5'","'-5'"
"55487","'733927920149'",44,"'1'","'3'",61300,1134,14750,24550,39250,15517,3,2002,"'1'",1,130000,-6,"'1'",1,6,2744.3411142,2,106974,"'1'",1218,1,"'1'",218,110.08333333,1192.0574478,1694.0600717,1349.0878848,1083.4051458,107000,-9,61300,14750,24550,39250,49040,19175,31915,51025,63752,0.136631331,218.13621533,7,689.39872398,4,235.83333333,3,74.793414968,4,307.29069995,4,105.11970439,3,84.645996033,5,347.77028672,4,118.96718561,3,106.29063068,6,436.69783379,4,149.38801338,3,67.976229504,4,279.28211531,4,95.538372648,2,"'1 Adequate'","'Central City'","'2000-2009'","'1 Single Family'","'3 3BR'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'4 60 - 80% AMI'","'5 80 - 100% AMI'","'6 100 - 120% AMI'","'4 60 - 80% AMI'","'7 120% AMI +'","'.'","'1 Less than 30%'","'-5'","'-5'"
"48870","'689898350145'",57,"'2'","'1'",91800,1955,29800,49600,71050,28824,3,1950,"'1'",1,240000,-6,"'1'",1,7,949.37873154,5,108748,"'1'",746,1,"'1'",251.33333333,59.75,1906.1124677,2832.8865427,2196.0148129,1705.5236026,96000,-9,91800,29800,49600,71050,99144,28696.296296,47762.962963,68418.518519,95472,0.0823187553,109.68692004,6,377.28281987,4,139.06393862,3,79.860586043,5,264.51741155,4,97.49935896,2,92.006653801,5,304.7481006,4,112.32812342,3,118.68973281,6,393.12885688,4,144.90468249,3,71.456494158,4,236.68104393,4,87.239058954,2,"'1 Adequate'","'-5'","'1940-1959'","'1 Single Family'","'3 3BR'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'2 50.1 - 100% FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'5 80 - 100% AMI'","'5 80 - 100% AMI'","'6 100 - 120% AMI'","'4 60 - 80% AMI'","'6 100 - 120% AMI'","'.'","'1 Less than 30%'","'-5'","'-5'"
"58583","'999900012651'",78,"'2'","'1'",105900,1285,22250,37100,52150,11114,1,1980,"'1'",1,-6,-6,"'2'",141,3,150.18167747,1,13200,"'1'",180,5,"'2'",101,0,180,180,180,180,0,1,105900,22250,37100,52150,74130,23839.285714,39750,55875,79425,0.1636363636,17.80655605,1,118.76912003,2,25.680933852,1,9.0651558074,1,64.783156379,1,14.007782101,1,9.0651558074,1,64.783156379,1,14.007782101,1,9.0651558074,1,64.783156379,1,14.007782101,1,9.0651558074,1,64.783156379,1,14.007782101,1,"'1 Adequate'","'-5'","'1980-1989'","'5 50+ units'","'1 1BR'","'2 Renter'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'2 100-150% Poverty'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 Assisted'","'1 Less than 30%'","'-5'","'-5'"
"21399","'387086390147'",43,"'2'","'3'",85600,1598,25700,42800,64400,23462,3,1950,"'1'",1,220000,-6,"'1'",1,6,2601.8836292,4,99988,"'1'",1048,1,"'1'",140,291.66666667,1893.7767065,2743.3196086,2159.5205229,1709.9035801,99444,-9,85600,25700,42800,64400,85600,26728,44512,66976,89024,0.125775093,116.80841121,6,426.16997698,4,156.42678348,3,85.090614058,5,322.86705421,4,118.50918063,3,97.030936509,5,368.17330542,4,135.13895638,3,123.26202411,7,467.7043063,4,171.67206562,3,76.828881206,5,291.51881001,4,107.00272717,3,"'1 Adequate'","'-5'","'1940-1959'","'1 Single Family'","'3 3BR'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'5 80 - 100% AMI'","'5 80 - 100% AMI'","'7 120% AMI +'","'5 80 - 100% AMI'","'6 100 - 120% AMI'","'.'","'1 Less than 30%'","'-5'","'-5'"
"37764","'583593310142'",36,"'3'","'3'",73559,1467,22162,36930,54352,23401,4,1975,"'1'",1,400000,-6,"'1'",1,9,2810.5727468,4,189487,"'1'",2851,1,"'1'",259,72.916666667,2990.2985572,4534.9220156,3473.4691326,2655.983782,173000,-9,73559,22162,36930,54352,73559,25707.92,42838.8,63048.32,85328.44,0.1805506446,257.5986623,7,809.73890005,4,322.91581459,3,140.17828322,7,511.14030293,4,203.8376658,3,162.82820277,7,593.73003421,4,236.77362867,3,212.58666,7,775.16721774,4,309.12897175,3,124.50637945,7,453.99492022,4,181.0486559,3,"'1 Adequate'","'-5'","'1960-1979'","'1 Single Family'","'4 4BR+'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'.'","'1 Less than 30%'","'-5'","'-5'"
"5834","'189880350245'",70,"'1'","'1'",76291,1259,18708,31181,47213,13948,3,1920,"'1'",1,230000,-6,"'1'",5,5,472.81128768,2,40800,"'1'",711,3,"'1'",205,250,1983.5695871,2871.7280756,2261.3926679,1791.3385913,0,-9,76291,18708,31181,47213,61032.8,24320.4,40535.3,61376.9,79342.64,0.2091176471,66.849300704,4,292.51505592,4,81.016679905,2,100.00018084,6,568.84702812,4,157.55119834,3,114.00642418,6,648.52098306,4,179.61816266,3,144.77602841,7,823.55264572,4,228.09595517,3,90.308998609,5,513.71912571,4,142.28265221,3,"'1 Adequate'","'Central City'","'-5'","'3 5-19 units'","'3 3BR'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'6 100 - 120% AMI'","'6 100 - 120% AMI'","'7 120% AMI +'","'5 80 - 100% AMI'","'4 60 - 80% AMI'","'.'","'1 Less than 30%'","'-5'","'-5'"
"28856","'479206160143'",30,"'1'","'1'",89100,1007,18750,31200,45100,12019,1,1950,"'1'",1,-6,-6,"'2'",3,3,974.57052393,1,32987,"'1'",732,2,"'2'",132,0,732,732,732,732,33000,0,89100,18750,31200,45100,62370,20089.285714,33428.571429,48321.428571,66825,0.266286719,52.889209556,3,274.45710958,4,81.894240318,2,43.815937149,2,243.61427739,4,72.691161867,2,43.815937149,2,243.61427739,4,72.691161867,2,43.815937149,2,243.61427739,4,72.691161867,2,43.815937149,2,243.61427739,4,72.691161867,2,"'1 Adequate'","'Central City'","'1940-1959'","'2 2-4 units'","'1 1BR'","'2 Renter'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 30 - 50% AMI'","'2 30 - 50% AMI'","'2 30 - 50% AMI'","'2 30 - 50% AMI'","'3 50 - 60% AMI'","'0 Not Assisted'","'1 Less than 30%'","'-5'","'-5'"
